1,50.00,56.00
2,50.00,137.00
3,47.00,224.00
4,43.00,312.00
5,47.00,396.00
6,144.00,50.00
7,137.00,130.00
8,137.00,230.00
9,133.00,314.00
10,137.00,400.00
11,141.00,490.00
12,141.00,570.00
13,141.00,664.00
14,221.00,50.00
15,221.00,88.00
16,221.00,138.00
17,221.00,232.00
18,223.00,313.00
19,221.00,410.00
20,222.00,493.00
21,222.00,577.00
22,224.00,662.00
23,306.00,46.00
24,308.00,226.00
25,309.00,313.00
26,311.00,405.00
27,314.00,490.00
28,313.00,576.00
29,314.00,662.00
30,400.00,43.00
31,401.00,134.00
32,404.00,219.00
33,405.00,310.00
34,403.00,398.00
35,406.00,488.00
36,403.00,578.00
37,401.00,668.00
